accession	decision	role	organism	relevant_libraries_or_units	independent_units	assay	primary_reason	major_limitation	primary_source
GSE93939	CORE	natural_resistance_anchor	Homo sapiens	39 libraries; 32 in OMN-versus-spinal contrast	19 donors in primary contrast	LCM bulk RNA-seq	Natural human motor-neuron resistance anchor with direct post-mortem oculomotor and spinal motor-neuron profiles, raw counts, 20+ libraries, and donor metadata	No SMA tissue; strong sex, tissue-bank, and platform imbalance requires adjusted and same-platform analyses	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93939
GSE290979	CORE	human_sma_disease_and_smn_response	Homo sapiens	31 libraries	5 iPSC lines overall; 2 SMA lines in treatment contrast	spinal-cord-organoid bulk RNA-seq	Human SMA type I disease-and-response model with untreated controls, SMN2-directed R6-MO, paired scramble controls, raw counts, sample-level splicing tables, and 20+ libraries	Bulk mixed-cell organoids; only 3 control and 2 SMA donor lines, so library count must not be interpreted as patient count	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290979
GSE108094	EXTERNAL_VALIDATION	independent_ipsc_sma_motor_neuron_validation	Homo sapiens	8 libraries	4 iPSC motor-neuron lines; 2 control and 2 SMA, each with 2 replicate libraries	iPSC-derived spinal motor-neuron bulk RNA-seq	Independent human iPSC-SMA motor-neuron model with deep paired-end RNA-seq and official expression and exon-skipping outputs	Too small for discovery; official processed expression is group-level Cuffdiff output without sample counts for a line-aware reanalysis, and hg19/Ensembl 75 splice coordinates require raw reanalysis before exact comparison with hg38 events	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108094
GSE290980	CELL_RESOLVED_INTERNAL	same_study_sma_motor_neuron_disease_localization	Homo sapiens	8 libraries; 27114 cells	4 donor lines; 2 control and 2 SMA, each represented by 2 preparations	single-cell RNA-seq	Directly linked cell-resolved arm of GSE290979 with author-defined motor-neuron clusters and cell-type pseudobulk SMA-versus-control effects	Same study and overlapping disease model as GSE290979, so it resolves cell mixing but is not independent validation; only two donor lines per genotype	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290980
GSE243076	INDEPENDENT_CELL_LOCALIZATION	independent_adult_spinal_motor_neuron_localization	Homo sapiens	64021 nuclei	9 adult spinal-cord donors	single-nucleus RNA-seq	Independent adult human spinal-cord atlas with raw 10x matrices, 21 neuronal clusters, and an author-defined CHAT/SLC5A7-positive C20 motor-neuron cluster	No SMA contrast and the public cluster-average workbook is descriptive; it tests adult motor-neuron localization, not disease direction	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243076
EGAD00001011259	CONTROLLED_ACCESS_FUTURE_VALIDATION	independent_isogenic_sma_motor_neuron_single_cell_validation	Homo sapiens	8 samples across 3 differentiation times	isogenic SMA and control lines across days 4, 20, and 40	single-cell RNA-seq	Strong independent human SMA motor-neuron differentiation design with time-resolved single-cell data	Controlled EGA access under a data-access committee and approximately 954 GB; unavailable for the current open-data analysis	https://ega-archive.org/datasets/EGAD00001011259
GSE69175	EXTERNAL_SENSITIVITY_VALIDATION	purified_ipsc_sma_motor_neuron_direction	Homo sapiens	4 libraries	2 iPSC lines total; 1 control and 1 SMA, each with 2 libraries	purified iPSC-derived motor-neuron RNA-seq	Direct patient-derived SMA motor-neuron direction in purified HB9-positive cells and published ER-stress biology	Genotype is completely confounded with cell line; LOLO is structurally impossible and source Cuffdiff effects are validation sensitivity only	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69175
GSE87281	SECONDARY_ONLY	smn_splicing_mechanism	Homo sapiens and Mus musculus	7 relevant human iPSC-motor-neuron libraries	3 control and 4 SMN-knockdown libraries	mixed-model RNA-seq and DRIP-seq	Strong prior evidence for SMN-dependent intron retention and a useful mechanistic validation set	The 101-series total mixes species and models; the relevant human motor-neuron subset has only 7 libraries	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87281
GSE136719	REFERENCE_ONLY	human_spinal_cell_annotation	Homo sapiens	more than 880000 cells	developmental tissue donors across gestational ages	single-cell and single-nucleus RNA-seq	Large human spinal-cord atlas suitable for cell-identity and developmental annotation	Not SMA, not an oculomotor comparison, and cells are not independent biological replicates	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136719
GSE115706	MOUSE_ONLY	mechanistic_time_course	Mus musculus	168 libraries	mouse neuronal populations across stages	LCM bulk RNA-seq	Large longitudinal SMA neuronal dataset suitable for conservation checks after human hypotheses are locked	Wrong species for the requested primary human analysis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115706
